iter	Accuracy	MultiClass
270	0.8457953394	0.5482570783
271	0.8458080041	0.5482539617
272	0.8458206687	0.5482259609
273	0.8458206687	0.5482225969
274	0.8458080041	0.5482196286
275	0.8458839919	0.5476184045
276	0.8459093212	0.5476152383
277	0.8459093212	0.5476120722
278	0.8465425532	0.5464098218
279	0.8465425532	0.5464072988
280	0.8465552178	0.5464048747
281	0.8471504559	0.5450162167
282	0.8475810537	0.5433821318
283	0.8476950355	0.5430268787
284	0.8476950355	0.5430098111
285	0.8477203647	0.542667569
286	0.8477330294	0.5426644523
287	0.8483409321	0.5412209307
288	0.8484295846	0.5400316418
289	0.8484042553	0.5400090829
290	0.848695542	0.5396285501
291	0.8490248227	0.5391754429
292	0.8489868288	0.5391724251
293	0.8489741641	0.5391696053
294	0.8492147923	0.5388842056
295	0.8492147923	0.5388812868
296	0.8492147923	0.5385314756
297	0.8492527862	0.5385280621
298	0.8492527862	0.5385244507
299	0.8492527862	0.5385219276
300	0.8492654509	0.5385183162
301	0.8492907801	0.5385165353
302	0.8492654509	0.5385131712
303	0.8491134752	0.5379180815
304	0.849189463	0.5378737058
305	0.8491767984	0.5378714796
306	0.8492654509	0.537544821
307	0.8492654509	0.5375415064
308	0.8492527862	0.5375389833
309	0.8491641337	0.5374614619
310	0.8491641337	0.5374581968
311	0.8492021277	0.5373885413
312	0.8492021277	0.5373860677
313	0.8493541033	0.5369431021
314	0.8494427558	0.5359416061
315	0.8495820669	0.5354602014
316	0.8497593718	0.5349230425
317	0.8498353597	0.5344208598
318	0.849822695	0.5344183863
319	0.8498480243	0.5342328196
320	0.8502912867	0.5336321397
321	0.8502912867	0.5336268463
322	0.8501266464	0.5330178057
323	0.8504179331	0.5321720947
324	0.8504305978	0.532168879
325	0.8504305978	0.5321662076
326	0.8504305978	0.5321627446
327	0.8504305978	0.5321602216
328	0.8504432624	0.5321329629
329	0.8504305978	0.5321306377
330	0.8504305978	0.5321272737
331	0.8504305978	0.5321255917
332	0.8504305978	0.532122475
333	0.8507852077	0.5317763741
334	0.8506965552	0.531472868
335	0.8509371834	0.5308491839
336	0.8509371834	0.5308458693
337	0.8510764944	0.5305121858
338	0.8510764944	0.5305100585
339	0.851266464	0.52976329
340	0.8513677812	0.5295508109
341	0.8513551165	0.5295484858
342	0.8513424519	0.5295456659
343	0.8513677812	0.5295430934
344	0.8513551165	0.5295387894
345	0.8513424519	0.5295359201
346	0.8514311044	0.5295115802
347	0.8515324215	0.5290008885
348	0.8515450861	0.5289981676
349	0.8517350557	0.5280358528
350	0.8515957447	0.5278313387
351	0.8517097264	0.5275187793
352	0.8517350557	0.5270250067
353	0.8517730496	0.5270225826
354	0.8519123607	0.5264223974
355	0.851899696	0.5264195776
356	0.8521276596	0.5254255022
357	0.8522163121	0.5252205923
358	0.8522163121	0.5252187619
359	0.8522036474	0.5252162388
360	0.8522163121	0.5252140126
361	0.8522163121	0.5252109949
362	0.8526342452	0.5240868102
363	0.8526215805	0.5240848808
364	0.8525962513	0.5240302645
365	0.8527355623	0.5235757721
366	0.8529888551	0.5232599972
367	0.8533308004	0.5225458796
368	0.853381459	0.5220317249
369	0.8534574468	0.5214827424
370	0.8534574468	0.5214807141
371	0.8540780142	0.5202287946
372	0.8540780142	0.520226519
373	0.8540653495	0.5202235507
374	0.8542299899	0.5189072691
375	0.8542806484	0.5189049934
376	0.8547112462	0.5179066636
377	0.8546099291	0.5175731779
378	0.854964539	0.5172063485
379	0.854964539	0.5172032813
380	0.8550405268	0.5168457031
381	0.8554964539	0.5155342697
382	0.8554837893	0.515531994
383	0.8556104357	0.5151701118
384	0.8555724417	0.5151493339
385	0.8555724417	0.5151464646
386	0.8556864235	0.5146511089
387	0.8557370821	0.5146344371
388	0.8557370821	0.5146315183
389	0.8558637285	0.5143568539
390	0.8558637285	0.5143551225
391	0.8558763931	0.5139064677
392	0.8560283688	0.5137157065
393	0.8559903749	0.5133964191
394	0.8563449848	0.5126021581
395	0.8563323202	0.5125990909
396	0.8564969605	0.5121625071
397	0.8564716312	0.5121584505
398	0.8564463019	0.5119639295
399	0.8564589666	0.5119621486
400	0.8564589666	0.5110771573
401	0.8566616008	0.5106909353
402	0.8566616008	0.5104932482
403	0.8566489362	0.5104843433
404	0.8566362715	0.5104678694
405	0.8571301925	0.5088792981
406	0.8571301925	0.5088773687
407	0.8573454914	0.5079839674
408	0.8573708207	0.5079814443
409	0.8577254306	0.5068410825
410	0.8577254306	0.5068388068
411	0.8577254306	0.506835987
412	0.8578394124	0.5066989516
413	0.8576874367	0.5065553366
414	0.8579787234	0.5056315104
415	0.8579787234	0.5056293337
416	0.8581940223	0.5052007642
417	0.858168693	0.5049117532
418	0.858168693	0.5049093786
419	0.858168693	0.504164292
420	0.8582066869	0.5040020263
421	0.8582826748	0.5034176225
422	0.8582700101	0.503315217
423	0.8584219858	0.5031929735
424	0.8584346505	0.5031901536
425	0.8587006079	0.5026924729
426	0.8587006079	0.5026897519
