iter	Passed	Remaining
143	6095	36232
144	6144	36233
145	6185	36179
146	6225	36126
147	6270	36099
148	6310	36043
149	6356	36019
150	6404	36009
151	6443	35949
152	6483	35891
153	6528	35862
154	6569	35812
155	6608	35754
156	6650	35709
157	6688	35644
158	6734	35623
159	6776	35578
160	6813	35508
161	6858	35477
162	6895	35409
163	6941	35385
164	6978	35313
165	7020	35273
166	7060	35216
167	7106	35196
168	7152	35168
169	7196	35136
170	7240	35099
171	7281	35053
172	7319	34989
173	7365	34965
174	7411	34940
175	7454	34900
176	7500	34874
177	7544	34840
178	7586	34796
179	7634	34781
180	7679	34749
181	7717	34687
182	7757	34632
183	7800	34595
184	7843	34555
185	7889	34526
186	7928	34469
187	7975	34449
188	8029	34452
189	8073	34420
190	8113	34366
191	8153	34311
192	8197	34275
193	8235	34215
194	8281	34186
195	8331	34174
196	8373	34131
197	8414	34084
198	8456	34038
199	8497	33991
200	8542	33955
201	8582	33906
202	8627	33870
203	8666	33814
204	8709	33774
205	8750	33727
206	8797	33703
207	8839	33657
208	8877	33599
209	8921	33562
210	8967	33531
211	9004	33469
212	9051	33445
213	9092	33394
214	9134	33349
215	9175	33303
216	9208	33226
217	9247	33171
218	9283	33108
219	9319	33042
220	9366	33014
221	9412	32985
222	9457	32952
223	9500	32914
224	9538	32855
225	9584	32823
226	9626	32779
227	9673	32753
228	9719	32722
229	9770	32708
230	9817	32681
231	9861	32645
232	9904	32605
233	9943	32549
234	9991	32526
235	10033	32481
236	10077	32442
237	10117	32392
238	10162	32358
239	10198	32296
240	10246	32269
241	10287	32223
242	10326	32170
243	10371	32134
244	10413	32090
245	10457	32053
246	10498	32006
247	10541	31965
248	10581	31913
249	10623	31871
250	10664	31824
251	10708	31786
252	10746	31728
253	10791	31694
254	10829	31638
255	10871	31594
256	10913	31552
257	10950	31494
258	10995	31458
259	11041	31425
260	11080	31372
261	11123	31331
262	11169	31299
263	11222	31285
264	11266	31248
265	11311	31213
266	11351	31164
267	11397	31131
268	11442	31095
269	11485	31052
270	11531	31019
271	11576	30984
272	11617	30938
273	11666	30912
274	11712	30878
275	11755	30835
276	11795	30788
277	11840	30750
278	11879	30698
279	11916	30643
280	11959	30601
281	11999	30551
282	12033	30488
283	12073	30438
284	12115	30393
285	12156	30347
286	12197	30302
287	12241	30263
288	12279	30210
289	12325	30177
290	12376	30153
291	12423	30123
292	12465	30078
293	12501	30020
294	12546	29983
295	12588	29939
296	12624	29882
297	12675	29859
298	12726	29836
299	12771	29799
300	12818	29767
301	12852	29706
302	12901	29677
303	12940	29625
304	12979	29575
305	13026	29543
306	13068	29499
307	13109	29454
308	13150	29408
309	13187	29352
310	13233	29317
311	13276	29275
312	13329	29256
313	13374	29219
314	13417	29177
315	13463	29142
316	13507	29101
317	13545	29050
318	13582	28995
319	13627	28958
320	13670	28916
321	13713	28875
322	13756	28832
323	13803	28799
324	13849	28763
325	13886	28709
326	13931	28673
327	13973	28629
328	14020	28595
329	14061	28549
330	14112	28522
331	14156	28483
332	14195	28432
333	14241	28397
334	14293	28373
335	14335	28329
336	14375	28282
337	14420	28244
338	14460	28196
339	14502	28151
340	14546	28111
341	14589	28068
342	14635	28032
343	14679	27994
344	14718	27943
345	14758	27896
346	14802	27856
347	14841	27807
348	14880	27756
349	14926	27720
350	14966	27673
351	15007	27626
352	15049	27583
353	15089	27535
354	15135	27499
355	15172	27447
356	15210	27395
357	15250	27348
358	15286	27294
359	15328	27251
360	15377	27218
361	15426	27188
362	15477	27160
363	15520	27119
364	15564	27078
365	15609	27039
366	15652	26996
367	15694	26954
368	15737	26912
369	15779	26867
370	15820	26821
371	15867	26787
372	15908	26741
373	15953	26703
374	15997	26662
375	16040	26619
376	16080	26573
377	16123	26531
378	16165	26488
379	16207	26443
380	16248	26398
381	16290	26354
382	16330	26308
383	16373	26265
384	16417	26225
385	16459	26181
386	16504	26142
387	16544	26095
388	16588	26054
389	16628	26009
390	16670	25965
391	16718	25931
392	16760	25887
393	16810	25855
394	16856	25817
395	16899	25776
396	16942	25734
397	16987	25694
398	17036	25662
399	17082	25624
400	17123	25578
